ABIS CAN, Abis Canadensis-Pinus Canadensis, Hemlock Spruce\1
AMPELOPSIS TRIFOLIA, Ampelopsis Trifolia, Three-Leaf Woodbane\59
59  ,1   ,1   ,4   ,4   
AMPHISBANA, Amphisbana, Snail-like lizard\60
60  ,5   ,7   ,28  ,20  
AMYGDALUS PER., Amygdalus Persica, Peach Tree\61
61  ,11  ,11  ,44  ,44  
AMYL NIT., Amyl Nitrosum, Amyl Nitrite\62
62  ,34  ,34  ,141 ,141 
ANACARDIUM, Anacardium, Marking Nut*\63
63  ,105 ,105 ,461 ,461 
ANAGALLIS, Anagallis, Scarlet Pimpernel\64
64  ,21  ,21  ,88  ,88  
ANAGYRIS, Anagyris\65
65  ,2   ,2   ,8   ,8   
ANATHERUM, Anatherum, Cuscus - An East Indian Grass\66
66  ,29  ,29  ,116 ,116 
ANBALON, Anbalon\67
67  ,1   ,1   ,4   ,4   
ANDROSACE, Androsace Lactea\68
68  ,2   ,2   ,8   ,8   
ANEMOPSIS, Anemopsis Californica, Yerba Mansa - Household Herb [Piper moth]\69
69  ,15  ,15  ,60  ,60  
ANGELICA, Angelica\70
70  ,6   ,7   ,34  ,28  
ANGOPHORA, Angophora, Red Gum\71
71  ,4   ,4   ,16  ,16  
ANGUSTURA, Angustura Vera, Bark of Galipea Cusparia\72
72  ,35  ,36  ,142 ,138 
ANHALONIUM, Anhalonium, Mescal Button\73
73  ,22  ,22  ,104 ,104 
ANILINUM, Anilinum, Coal Tar Product - Amidonbenzene\74
74  ,6   ,6   ,24  ,24  
ANTHEMIS, Anthemis Nobilis, Roman Chamomile\75
75  ,14  ,14  ,57  ,57  
ANTHOXANTUM, Anthoxantum, Sweet Vernal Grass\76
76  ,2   ,2   ,8   ,8   
ANTHRACINUM, Anthracinum, Anthrax Poison\77
77  ,25  ,26  ,104 ,100 
ANTHRAKOKALI, Anthrakokali, Anthracite Coal Dissolved in Boiling Caustic Potash\78
78  ,15  ,15  ,60  ,60  
ANT-A, Antimonium Arsenicosum, Arsenite of Antimony\79
79  ,8   ,8   ,32  ,32  
ANTIMON. CHLORIDUM, Antimonium Chloridum, Butter of Antimony\80
80  ,5   ,5   ,20  ,20  
ANT-C, Antimonium Crudum, Antimony Sulfide (black)*\81
81  ,169 ,169 ,703 ,703 
ANT-J, Antimonium Jodat\82
82  ,12  ,12  ,50  ,50  
ANT-S, Antimonium Sulphuratum Auratum, Golden Sulpheret of Antimony\83
83  ,19  ,19  ,76  ,76  
ANT-T, Antimonium Tartaricum, Tartar Emetic (Tartrate of Antimony and Potash)*\84
84  ,108 ,108 ,441 ,441 
ANTIPYRINE, Antipyrine, Phenazone - A Coal-tar Derivative\85
85  ,63  ,63  ,257 ,257 
APIS, Apis Mellifica, Honey Bee Poison*\86
86  ,202 ,202 ,843 ,843 
APIUM GRAV., Apium Graveolens, Common Celery\87
87  ,37  ,37  ,149 ,149 
APOCYNUM ANDR., Apocynum Androsaemifolium, Dogbane\88
88  ,13  ,13  ,52  ,52  
APOC, Apocynum Cannabinum, Indian Hemp*\89
89  ,58  ,58  ,242 ,242 
APOM, Apomorphinum, Alkaloid from Decomposition of Morphine by Hodrochloric Acid*\90
90  ,13  ,20  ,81  ,53  
AQUA CAL., Aqua Calcar, Lime-water\91
