cardialgia gastrodynia
careful conscientious, meticulous
careless lax
caries potts', potts'
cataplasms poultices
catarrh coryza
catatonia catalepsy
catatonic cataleptic
catharsis purgation
cathartic laxative
cathartics purgatives
caul omentum
caused induced
causes induces
causing inducing
caustic alkaline
cavities fossae
cavity fossa, ventriculi
cease intermit
ceases intermits
cells corpuscles
cellulitus erysipelas, erysipelatous
cephalitis encephalitis
cerebral apoplexy
cerebro-spinal meningitis
chafe excoriate
chafed excoriated
chafes excoriates
chafing excoriating, intertrigo
chalazoe chalaza
chancre hunterian
changeable mercurial
changed vicarious
chaps rhagades
charbon anthrax
chattering prattling
chatty talkative
cheek malar, buccal, zygoma, zygomatic
cheek-bone cheekbone
cheekbone cheek-bone
cheekbones cheek-bones
cheloid keloid
cherish appreciate
chest pectoral, pectoral, sternal, sterni, thoracic, thoractic, thorax
chew amasarea
chicken vesicle, vesicles
chief principal, prominent
chiefly principally, prominently
childbearing puerperal
childbirth parturition
childish infantile
chill dumb-ague, ague
chirping cri
chloasma liver-spots, moth-spots
chloasmata chloasma, liver-spots, moth-spots
chlorides chloro-anemia, chloronic, chlorosis, chlorosis
chlorosis chlorides, chloro-anemia, chloronic, chlorotic
chokes gags
choking gagging, retching
chokings retchings
chorionitis scleroderma
choromania chorea, choreic
chronic inveterable, inveterate, bright's
chubby plump
circocele varicocele
cirsoid varices
classic typhus
clear limpid, vivid
clenched lockjaw, trismus
climacteric climaxis
close lagophthalmus
closeness presence
clot thrombosis
cloudy turbid
clump agglutination, agglutinate
clumped agglutinated
coals clinkers
coition coitus, intercourse, lovemaking, onanism
coitus coition, intercourse, lovemaking
cold coryza
colic enteralgia, painter's
colica painter's
collapse prostration
collar clavicle, clavicles
colon colitis
coloration complexion
colorations complexions
colorless lusterless
come precede, precede
comes precedes, precedes
coming preceding, preceding
commotion tumultuous
companionable sociable
company presence
competency ability
competent able
complaining peevish, peevishness, whining
completely entirely
complicated abstract
comprehensive exhaustive
compulsive kleptomania
conceited arrogant
concerning about
concha turbinate
concurrent concomitant
condition ailments, ailment
conditions ailings
condom prophylactic
confident sanguine
confined incarcerated
confinement incarceration
confounded confused
confuses confounds
congenial sociable
congenita thompson's, tiegel's
congested costive
congestion hyperemia, plethora
congruous synchronous
conjoined connected
conjunctivitis ophthalmia, trachoma
connect conjoined
connected concomitant
connection conjunction
connective sinews
conscious sensible
consciousness sensibility
constant incessant, persistent, sopor
constantly incessantly, persistently
constipated costive
consuming ingesting, ingestion
consumption phthisis, tuberculosis
contact vesicle, vesicles
contemplation introversion
contentious quarrelsome
continual incessant
continually incessantly
continued typhus
continues persists
continuous persistent
continuously persistently
contraceptive prophylactic
contraction stricture
contractions strictures
contrition remorse
controversial argumentative
convergent confluent
convulsia pertussis
convulsion paroxysm, spasm
convulsion-like epileptiform
convulsions laryngismus, paroxysms, spasms
convulsiva whooping, whooping-cough
convulsive paroxysmal, spasmodic
convulsively spasmodically
coolness frigidity
copiousness abundance
copulation intercourse, lovemaking, coitus, coition, venery
cork-screw corkscrew
corn clavus
cornea corneitis
corneal keratitis
corpulent stout
corrupt depraved
corrupted vitiated
corruption depravity
cortical addison's
costive constipated
costiveness constipation
cough hawk, pertussis
coughed hawked
coughing hacking, hawking
coughs hawks
crackling crepitant, crepitation
crafty foxy
cramp crick, palsy, spasm
cramps cricks, enteralgia, spasms
craving halophagia
crawling formication, paresthesia
crawlings parethesias
crazy deranged
cries sobs, weeps
criticism reproach
crooked tortuous
crosness peevishness
cross peevish, snappish
croup laryngismus
crowing laryngismus
crude obscene
cruels shingles, zona, zoster
crust crusta, tinea
crusted crustaceous
crusty crustaceous
cry night-terrors, nightmare, nightmares, weep
crying cri, sobbing, tearful, tearfulness, tears, weeping, weepy, whining
crystalling lenticular
cucullaris pertussis, whooping, whooping-cough
curing recuperative
curious inquisitive
curved tortuous
cut incised
cutaneous scrofuloderma
cutis goose-flesh, gooseflesh
cutting lancinating
cuttings lancinations
cyclic intermittent, intermittents
cycling intermitting
cynacism ill-humor
cynical ill-humored
cyst lipoma, atheroma, otheromatous, chalaza
cysts wens
daily diurnal, quotidian
dance choreic, chorea
dandruff scurf, scurfs, scurfy
dark mahogany-brown
dark-brown mahogany-brown
dawdles loafs
day quartan
daydreams reveries
dead lifeless, necrosed
deadly pernicious
death bubonic, necrosis
debased depraved, perverted
debasement perversity
debasements perversions
debasing abject
debauchery debauch
debilitated exhausted
debilitating exhausting
debility adynamic, lassitude, adynamia, malaise, prostration, asthenia
decalvans tinea
decay caries
decayed decomposed, carious, putrescent
decaying decomposing
decomposed putrid
decomposes putrefies
decomposing putrefactive
decomposition putrefaction
deep coma, narcolepsy, narcosis, sopor, soporous
deep-throated sonorous
deficient oliguria
deformation malformation
deformed malformed
degrading abject
dehydrated parched, wizened
dejected despondent
delay protraction, retard, tarry
delayed protracted, retarded
delicacy tenderness
delicate tender
demented deranged
depraved perverted
depravities perversions
depravity perversity, wickedness
depressed low-spirited, dejected, melancholic, despondent
depressing somber
depression despondency, melancholia, melancholy, scrobiculum
dermatitis vesicle, vesicles
dermatosclerosis scleroderma
description inexpressible
desiccated parched
desire libidinous
desolate inconsolable
despairing pessimistic
despondent low-spirited
destroys ravages
destructive pernicious
detectable perceptible
detests loathes
development abortion, cretinism
deviant abnormal
diabetes mellitus
dialog interchange
diaphragm prophylactic
diarrhea lienteric
diarrhea-like lienteric
diction enunciation
did abolished
differ argue
difficult dyspareunia, dysphagia, dysuria, orthopnea
diffident retiring
digestion dyspepsia, assimilation
digestions dyspepsias
dilation mydriasis
diphtheritis diphtheria
disapproval reproach
discern perceive
discerned perceived
discernible perceptible
discharge exude, catarrh, pyorrhea, defecate
discharges exudes, catarrhs
discharging exuding
discoloration chlorotic
discolorations blotches
discolored blotchy
discomfort malaise
discordant inharmonious
disdain contempt
disease dyscratic, grave's, grave's, hyperthyroidism, dyscrasia, lepra, leprosy, mal, athetosis, morbus, neurasthenia, cyanosis, basedow's, pseudo-hypertrophic, rigg's
diseased morbid
disfigured malformed
disfigurment malformation
disgust abhorrence
disgusting repulsive
disheartening abject
dishonor reproach
dislike abhorrence, aversion, aversity, repugnance
dislocation luxation
disorder hysteria
disorientation incoherency
disoriented incoherent
disparity inequality
dispute argue
disputing argumentative
disquiet inquietude
distaste abhorrence
distended distention, distented
distented distended
distressed panicky
disturbed dyspepsias, dyspepsia
disturbing teasing
dizziness vertigo
doing abstaining
dolens milk-leg
dominant bossy
dormant latent
dorsalis locomotor
dose draught
doses draughts
double diplopia
doubt indecision, indecisiveness, qualmishness
doubtful indecisive
douloureaux trigeminal
douloureux faceache, prosopalgia
down recumbent
dozen twelve
dozing nodding, drowsy
