astigmia 1
astringent 0
asunder 0
asystole 1
asystolia 1
at 0
ataxia 1
ataxic 1
atheroma 1
athetosis 1
athletes 2
atmosphere 0
atmospheric 0
atonic 1
atony 1
atrocious 3
atrophic 1
atrophica 1
atrophied 1
atrophies 1
atrophy 1
atropin 0
attached 0
attachment 0
attack 0
attacked 0
attacks 0
attain 0
attempt 0
attempted 0
attempting 0
attempts 0
attend 0
attended 0
attending 0
attention 0
attitudes 3
attracts 0
audible 1
audibly 1
auditory 1
aura 1
aural 1
auricle 1
auricular 1
auris 1
aurium 1
auto-infection 1
auto-intoxication 1
auto-traumatism 1
automatic 0
autophony 1
autumnal 2
auxiliary 0
averse 0
aversion 0
aversity 0
avoid 0
avoids 0
awake 1
awakened 1
awakening 1
awakens 1
awakes 1
awaking 1
aware 0
awareness 0
away 0
awkward 0
axilla 1
axillae 1
axillary 1
axis 1
babies 2
baby 2
bachelors 2
bacillus 1
back 1
backache 1
backachy 1
backs 0
backward 0
backwards 0
bacon 1
bacterial 1
bad 0
bad-smelling 0
badiaga 1
badly 0
badly-managed 0
bag 1
bags 1
balance 0
balancing 0
balanitis 1
bald 1
baldness 1
baldspots 1
ball 1
ballae 1
balls 1
band 1
band-like 1
bandaged 1
bandages 1
bandaging 1
bands 1
bar 1
barber's 1
bare 1
bark 1
barking 1
barometer 1
base 1
basedow's 1
basement 1
basements 1
bashful 3
basilaris 1
basis 0
basso 1
bath 1
bathe 1
bathed 1
bathing 1
baths 1
battles 0
be 0
bead 1
beads 1
beans 1
bear 0
beard 1
bearing 0
bearing- 1
bearing-down 1
beat 1
beaten 1
beating 1
beats 1
beautiful 3
became 0
because 0
become 0
becomes 0
becoming 0
bed 1
bed-clothes 1
bed-sores 1
bedroom 1
bedsores 1
bedwetting 1
bee 1
been 0
beer 1
beer-drinker 1
before 0
began 0
begin 0
beginning 0
begins 0
begun 0
behind 0
being 0
belching 1
believes 3
bellad. 0
belladonna 0
belly 1
belong 0
below 1
bend 1
bending 1
bends 1
beneath 1
benign 1
bent 1
benumbed 1
benumbing 1
beri-beri 1
beseeching 3
beside 0
besotted 1
besotted-looking 1
best 0
better 0
between 1
beverages 1
bewildered 3
beyond 0
biceps 1
bifurcation 1
big 0
bilbarziasis 1
bile 1
biliary 1
bilious 1
biliousness 1
binocular 1
binoxide 0
biscuits 1
bite 1
bites 1
biting 1
bitten 1
bitter 3
bitterness 3
black 1
blackish 1
blackish-red 1
blackness 1
bladder 1
bladder-like 1
blade 1
bland 0
blanket 0
blear-eyed 1
blearedness 1
bleb 1
bleed 1
bleeding 1
bleeds 1
blemishes 1
blenorrhea 1
blepharitis 1
blepharo-spasms 1
blew 0
blind 1
blinding 1
blindness 1
blink 1
blinking 1
blister 1
blister-like 1
blistered 1
blisters 1
bloated 1
bloatedness 1
bloating 1
block 0
blocked 0
blond 2
blondes 2
blood 1
blood- 1
blood-boils 1
blood-colored 1
blood-streaked 1
blood-tumors 1
blood-vessels 1
blooded 0
bloodless 1
